edge_abs,unfillable_rate,axis,model,horizon_min,rel_spread_t
,0.25582848091381655,spread_decile,lgbm,30,9.0
0.0,0.040075194394599674,edge_decile,tcn,30,
1.0,0.03770400751943946,edge_decile,tcn,30,
2.0,0.03153037682645476,edge_decile,tcn,30,
3.0,0.02794215034927688,edge_decile,tcn,30,
4.0,0.023647782619841066,edge_decile,tcn,30,
5.0,0.020763906690592155,edge_decile,tcn,30,
6.0,0.018115400226442504,edge_decile,tcn,30,
7.0,0.014547551909766726,edge_decile,tcn,30,
8.0,0.011428693497393831,edge_decile,tcn,30,
9.0,0.005190976672648039,edge_decile,tcn,30,
,0.001138663967611336,spread_decile,tcn,30,0.0
,0.00040419511987576317,spread_decile,tcn,30,1.0
,0.0004475512552747112,spread_decile,tcn,30,2.0
,0.0004160166406656266,spread_decile,tcn,30,3.0
,0.001522951522951523,spread_decile,tcn,30,4.0
,0.00107293787908647,spread_decile,tcn,30,5.0
,0.0011298987055721847,spread_decile,tcn,30,6.0
,0.0008234519104084321,spread_decile,tcn,30,7.0
,0.009567349346507641,spread_decile,tcn,30,8.0
,0.2542152386296967,spread_decile,tcn,30,9.0
0.0,0.08351381628080658,edge_decile,ridge,60,
1.0,0.06960418222554145,edge_decile,ridge,60,
2.0,0.056142643764002985,edge_decile,ridge,60,
3.0,0.0450336071695295,edge_decile,ridge,60,
4.0,0.034802091112770724,edge_decile,ridge,60,
5.0,0.022460791635548916,edge_decile,ridge,60,
6.0,0.01383495145631068,edge_decile,ridge,60,
7.0,0.0059932785660941,edge_decile,ridge,60,
8.0,0.0021284540702016432,edge_decile,ridge,60,
9.0,0.000970873786407767,edge_decile,ridge,60,
,0.0010631948071327315,spread_decile,ridge,60,0.0
,0.0003922594142259414,spread_decile,ridge,60,1.0
,0.0005599626691553896,spread_decile,ridge,60,2.0
,0.0009606318823048049,spread_decile,ridge,60,3.0
,0.001895345656336707,spread_decile,ridge,60,4.0
,0.0015907772350420152,spread_decile,ridge,60,5.0
,0.0014018934214853147,spread_decile,ridge,60,6.0
,0.002655356156327411,spread_decile,ridge,60,7.0
,0.02402451704700925,spread_decile,ridge,60,8.0
,0.35340302589210887,spread_decile,ridge,60,9.0
0.0,0.05004387981110786,edge_decile,lgbm,60,
1.0,0.04705685688613996,edge_decile,lgbm,60,
2.0,0.04375444021898115,edge_decile,lgbm,60,
3.0,0.048770294836701006,edge_decile,lgbm,60,
4.0,0.047557357181662416,edge_decile,lgbm,60,
5.0,0.04260609733163383,edge_decile,lgbm,60,
6.0,0.03671354242848486,edge_decile,lgbm,60,
7.0,0.029336787997826904,edge_decile,lgbm,60,
8.0,0.019767223185740854,edge_decile,lgbm,60,
9.0,0.005767060888461699,edge_decile,lgbm,60,
,0.001023669751603401,spread_decile,lgbm,60,0.0
,0.0003872650931474461,spread_decile,lgbm,60,1.0
,0.0005647117878356898,spread_decile,lgbm,60,2.0
,0.0008218831661468432,spread_decile,lgbm,60,3.0
,0.002216100905080463,spread_decile,lgbm,60,4.0
,0.0018350796187770082,spread_decile,lgbm,60,5.0
,0.0015322562473241849,spread_decile,lgbm,60,6.0
,0.002756201453269857,spread_decile,lgbm,60,7.0
