horizon_min,model,lam_policy,theta,slippage,scope,n_decisions,n_matched,n_gated,n_fillable,pass_rate,unfillable_rate,gross_mean,entry_cost_markout_mean,entry_cost_markout_median,roundtrip_touch_net_mean,hit_rate,sum_entry_markout
5,ridge,wf,1.5,0.005,in_scope,741221,688678,211487,209897,0.2853224611822925,0.007518192607583444,0.0007584940758533776,-0.010820494033396244,-0.010035641491413116,-0.018055209890007973,0.241885305649914,-2271.189208984375
5,ridge,wf,1.5,0.01,in_scope,741221,688678,138281,137285,0.18655839486468948,0.00720272488628228,0.0009772601770237088,-0.01590866968035698,-0.01503078080713749,-0.023526908829808235,0.19959937356593946,-2184.021728515625
5,ridge,wf,2.0,0.0,in_scope,741221,688678,254972,252915,0.343989174618636,0.008067552515570337,0.0006720931851305068,-0.005568027030676603,-0.0049591874703764915,-0.012466509826481342,0.32719688432872707,-1408.237548828125
5,ridge,wf,2.0,0.005,in_scope,741221,688678,163791,162557,0.22097458113032414,0.007533991489153861,0.0008253884152509272,-0.01068140473216772,-0.00995247345417738,-0.017945779487490654,0.24977084960967538,-1736.337158203125
5,ridge,wf,2.0,0.01,in_scope,741221,688678,107092,106313,0.14448052605093487,0.007274119448698315,0.0010703718289732933,-0.0157098900526762,-0.01492883637547493,-0.023323727771639824,0.206061347154158,-1670.16552734375
5,ridge,wf,1.0,0.0,out_of_scope,1291344,1291302,921357,921115,0.7134868787867524,0.0002626560605715266,-0.00030962389428168535,-0.013486946932971478,-0.01034400425851345,-0.02880879119038582,0.33817601493841704,-12423.029296875
5,ridge,wf,1.0,0.005,out_of_scope,1291344,1291302,777231,777033,0.6018775787086942,0.00025475051818571313,-0.0004286071052774787,-0.018897145986557007,-0.01571917161345482,-0.034540414810180664,0.27715811297589676,-14683.7060546875
5,ridge,wf,1.0,0.01,out_of_scope,1291344,1291302,646341,646188,0.5005180648998253,0.00023671715085380628,-0.0005698396125808358,-0.024367008358240128,-0.021099496632814407,-0.040382590144872665,0.23061554841625037,-15745.66796875
5,ridge,wf,1.5,0.0,out_of_scope,1291344,1291302,756349,756177,0.5857068294737886,0.000227408246722082,-0.00044050978613086045,-0.013197793625295162,-0.010057932697236538,-0.028185700997710228,0.3401981282160129,-9979.8681640625
5,ridge,wf,1.5,0.005,out_of_scope,1291344,1291302,624763,624631,0.4838083423162225,0.00021128011742052585,-0.0005986091564409435,-0.0186470877379179,-0.015409998595714569,-0.03397877514362335,0.27769355027208065,-11647.548828125
5,ridge,wf,1.5,0.01,out_of_scope,1291344,1291302,509008,508892,0.3941691756805313,0.00022789425706472196,-0.0007223045686259866,-0.024101497605443,-0.020723197609186172,-0.03980233520269394,0.23121605370098175,-12265.0595703125
5,ridge,wf,2.0,0.0,out_of_scope,1291344,1291302,609754,609632,0.4721855679044468,0.00020008068827756767,-0.0005599397118203342,-0.012893150560557842,-0.00971522368490696,-0.027550777420401573,0.342587003306913,-7860.0771484375
5,ridge,wf,2.0,0.005,out_of_scope,1291344,1291302,493091,492992,0.3818432578770645,0.0002007742992672752,-0.0006900685839354992,-0.018312251195311546,-0.014999710023403168,-0.033315181732177734,0.2792945930157082,-9027.79296875
5,ridge,wf,2.0,0.01,out_of_scope,1291344,1291302,395044,394964,0.30591693615334103,0.00020250908759530584,-0.0008120076381601393,-0.023757794871926308,-0.020267987623810768,-0.039154794067144394,0.2314438784294265,-9383.4736328125
